ticker,score,verdict,entry_quality,edge_position,breakout_risk,structure_score,regime_score,liquidity_score,support,resistance,range_width_pct,position_in_range,support_touches,resistance_touches,containment_ratio,rotation_count,tightness,trend_leakage,adx_14,atr_pct,ema20_slope_pct,avg_volume_20,avg_dollar_volume_20,latest_close,data_start,data_end,risk_note,reason,skip_reason
TMUS,73.46,WATCHLIST,7.4,MID_RANGE,LOW,63.6,73.3,100.0,182.21,203.48,11.67,0.537,10,31,0.5667,4,0.4952,0.2893,14.3,2.78,-4.49,6449271.0,1241664096.0,193.63,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,4 rotations (adequate); width 11.7% (wide); strong reactions; price mid-range (wait for edge); entry not ideal (7),
INTU,30.0,TRENDING_NOT_RANGE,60.7,NEAR_SUPPORT,MODERATE,61.0,63.7,100.0,376.45,675.95,79.56,0.066,19,29,0.9333,1,0.7401,0.6061,12.47,4.73,-2.81,2653609.0,1043174483.0,396.31,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,Only 1 rotations (weak); width 79.6% (too wide); trend leakage 61%; strong reactions; price near support; breakout risk moderate,
QCOM,30.0,BROKEN_UP,0.0,BROKEN_UP,HIGH,60.3,20.3,100.0,133.84,182.07,36.04,1.768,21,28,0.75,2,0.644,0.3175,45.19,5.46,27.89,23690200.0,4031682935.0,219.09,2025-11-14,2026-05-08,,Only 2 rotations (weak); width 36.0% (too wide); strong reactions; BROKEN above resistance; breakout risk HIGH; entry not ideal (0),
TXN,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,80.4,18.7,100.0,186.74,197.64,5.83,9.272,21,22,0.2667,7,0.5556,0.3365,50.56,3.15,29.3,8653049.0,2281758274.0,287.8,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,7 rotations (strong); width 5.8% (good); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
AMAT,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,64.2,48.9,100.0,316.14,357.14,12.97,2.91,18,14,0.325,5,0.6101,0.5185,18.65,3.94,9.46,6004227.0,2410977596.0,435.44,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,5 rotations (strong); width 13.0% (wide); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
AMGN,40.0,BROKEN_DOWN,0.0,BROKEN_DOWN,LOW,77.2,78.7,100.0,336.22,356.92,6.16,-0.218,26,24,0.45,6,0.484,0.2652,17.39,2.35,-3.92,2670530.0,908868823.0,331.7,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,6 rotations (strong); width 6.2% (good); strong reactions; BROKEN below support; entry not ideal (0),
INTC,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,70.8,20.8,100.0,41.91,48.0,14.51,13.631,14,23,0.3667,11,0.4612,0.3125,61.29,5.4,71.26,148297107.0,13073795756.0,124.92,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,11 rotations (strong); width 14.5% (wide); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
ISRG,71.37,RANGE_PRESSING_SUPPORT,62.3,NEAR_SUPPORT,MODERATE,59.2,80.9,100.0,447.52,493.74,10.33,0.055,19,20,0.45,3,0.6075,0.3787,17.78,2.81,-1.05,2323705.0,1077709836.0,450.06,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,3 rotations (adequate); width 10.3% (wide); strong reactions; price near support; breakout risk moderate,
BKNG,30.0,TOO_WIDE,88.6,NEAR_SUPPORT,LOW,61.0,86.6,100.0,162.65,220.35,35.47,0.057,24,23,0.975,1,0.6414,0.303,18.14,3.99,0.11,7252737.0,1277224152.0,165.93,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,Only 1 rotations (weak); width 35.5% (too wide); strong reactions; price near support; entry quality strong (89),
HON,40.0,BROKEN_DOWN,0.0,BROKEN_DOWN,LOW,54.2,38.1,100.0,219.89,246.27,11.99,-0.257,15,18,0.5083,2,0.5785,0.4,28.68,2.42,-5.48,3883758.0,850024815.0,213.12,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,Only 2 rotations (weak); width 12.0% (wide); strong reactions; BROKEN below support; entry not ideal (0),
