ticker,score,verdict,entry_quality,edge_position,breakout_risk,structure_score,regime_score,liquidity_score,support,resistance,range_width_pct,position_in_range,support_touches,resistance_touches,containment_ratio,rotation_count,tightness,trend_leakage,adx_14,atr_pct,ema20_slope_pct,avg_volume_20,avg_dollar_volume_20,latest_close,data_start,data_end,risk_note,reason,skip_reason
ANSS,0.0,INSUFFICIENT_DATA,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data (0 candles)
TTD,20.0,MESSY_RANGE,,,N/A,,,,,,,,,,,,,,14.57,5.87,4.46,18839535.0,439335703.0,23.08,2025-11-14,2026-05-08,,,No clear range structure detected
DXCM,40.0,BROKEN_DOWN,0.0,BROKEN_DOWN,LOW,62.4,43.3,75.9,64.44,75.27,16.81,-0.354,32,18,0.675,4,0.5419,0.35,27.5,3.56,-5.47,5213304.0,319423556.0,60.61,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,4 rotations (adequate); width 16.8% (too wide); strong reactions; BROKEN below support; entry not ideal (0),
IDXX,0.0,ILLIQUID,,,N/A,,,,,,,,,,,,,,,,,570592.0,325305676.0,560.11,2025-11-14,2026-05-08,,,"Liquidity below threshold (vol=570592, dv=325305676)"
VRSK,40.0,BROKEN_DOWN,0.0,BROKEN_DOWN,MODERATE,79.1,75.7,80.9,216.39,226.36,4.61,-4.465,41,43,0.3917,6,0.5308,0.3646,17.66,3.92,-3.02,2005225.0,357026769.0,171.87,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,6 rotations (strong); width 4.6% (good); strong reactions; BROKEN below support; breakout risk moderate; entry not ideal (0),
BIIB,65.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,77.0,79.1,61.0,169.85,191.84,12.94,1.073,22,24,0.825,5,0.532,0.2991,16.87,2.8,3.34,1120567.0,207667150.0,193.45,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,5 rotations (strong); width 12.9% (wide); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
ON,40.0,BROKEN_UP,0.0,BROKEN_UP,HIGH,84.4,16.9,100.0,58.3,62.93,7.93,9.698,22,29,0.3083,9,0.5611,0.375,43.08,4.29,44.79,13344813.0,1258421533.0,103.2,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,9 rotations (strong); width 7.9% (good); strong reactions; BROKEN above resistance; breakout risk HIGH; entry not ideal (0),
MDB,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,67.1,70.0,87.8,242.75,274.43,13.05,1.79,16,26,0.325,6,0.5336,0.2899,15.89,5.38,5.21,1551446.0,408341110.0,299.47,2025-11-14,2026-05-08,,6 rotations (strong); width 13.1% (wide); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
MRVL,20.0,MESSY_RANGE,,,N/A,,,,,,,,,,,,,,48.84,4.99,44.62,26411061.0,4058972124.0,170.13,2025-11-14,2026-05-08,,,No clear range structure detected
MCHP,30.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,59.2,19.0,100.0,62.45,79.98,28.07,2.09,20,16,0.7333,3,0.6142,0.3333,48.35,4.01,31.0,10862282.0,969718701.0,99.09,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,3 rotations (adequate); width 28.1% (too wide); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
ILMN,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,76.2,54.7,59.7,116.43,132.11,13.47,1.623,24,31,0.575,9,0.5423,0.49,13.15,4.11,6.61,1493366.0,197588268.0,141.88,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,9 rotations (strong); width 13.5% (wide); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
WBD,73.69,WATCHLIST,14.6,MID_RANGE,LOW,61.8,91.2,79.8,26.73,27.62,3.34,0.427,14,30,0.4083,4,0.4775,0.25,14.05,0.95,-1.1,17563924.0,477612614.0,27.11,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,4 rotations (adequate); width 3.3% (good); price mid-range (wait for edge); entry not ideal (15),
CDW,40.0,BROKEN_DOWN,0.0,BROKEN_DOWN,HIGH,70.1,45.4,65.8,117.77,141.47,20.12,-0.548,26,30,0.75,5,0.5751,0.4444,31.32,5.45,2.54,1928110.0,243702340.0,104.79,2025-11-14,2026-05-08,,5 rotations (strong); width 20.1% (too wide); strong reactions; BROKEN below support; breakout risk HIGH; entry not ideal (0),
GEHC,40.0,BROKEN_DOWN,0.0,BROKEN_DOWN,LOW,74.9,35.9,84.0,68.89,73.84,7.18,-1.095,15,22,0.275,5,0.5287,0.3535,28.59,3.5,-8.82,5891836.0,379984767.0,63.47,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,5 rotations (strong); width 7.2% (good); strong reactions; BROKEN below support; entry not ideal (0),
GFS,40.0,BROKEN_UP,0.0,BROKEN_UP,HIGH,64.0,10.7,74.7,40.39,50.41,24.82,3.366,18,16,0.5583,5,0.5579,0.4848,43.24,4.92,37.1,4864387.0,309890293.0,74.12,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,5 rotations (strong); width 24.8% (too wide); strong reactions; BROKEN above resistance; breakout risk HIGH; entry not ideal (0),
CCEP,73.62,WATCHLIST,20.5,LOWER_HALF,LOW,65.7,88.8,53.7,91.31,99.51,8.98,0.398,30,14,0.5083,4,0.5973,0.2778,15.55,2.38,-0.61,1592888.0,152736296.0,94.57,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,4 rotations (adequate); width 9.0% (good); entry not ideal (20),
ARM,40.0,BROKEN_UP,0.0,BROKEN_UP,HIGH,69.2,23.7,90.3,122.26,131.85,7.84,9.49,21,23,0.1917,4,0.5492,0.3125,37.61,6.97,37.27,10663312.0,2195515982.0,213.27,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,4 rotations (adequate); width 7.8% (good); strong reactions; BROKEN above resistance; breakout risk HIGH; entry not ideal (0),
DASH,50.0,TRENDING_NOT_RANGE,30.4,NEAR_SUPPORT,HIGH,62.9,65.2,100.0,160.68,187.85,16.91,0.12,18,17,0.4,5,0.5554,0.303,14.35,5.1,7.61,4752859.0,823286305.0,163.93,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,5 rotations (strong); width 16.9% (too wide); EMA slope 7.6% (directional); strong reactions; price near support; breakout risk HIGH,
LIN,76.27,TRENDING_NOT_RANGE,35.4,LOWER_HALF,LOW,72.9,67.9,100.0,487.06,505.96,3.88,0.323,27,28,0.3417,6,0.4824,0.6667,8.36,1.99,0.66,2011928.0,1008206163.0,493.16,2025-11-14,2026-05-08,,6 rotations (strong); width 3.9% (good); trend leakage 67%,
LULU,40.0,BROKEN_DOWN,0.0,BROKEN_DOWN,LOW,62.8,33.4,94.9,169.69,188.79,11.26,-2.016,16,19,0.3417,4,0.5743,0.4091,27.41,4.15,-10.67,3207635.0,462025977.0,131.18,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,4 rotations (adequate); width 11.3% (wide); strong reactions; BROKEN below support; entry not ideal (0),
